number,contract_name,name,address,banking,bonus,bike_stands,available_bike_stands,available_bikes,status,last_update,position_lat,position_lng,timestamp
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734427698000,46.5485967,15.6489818,2024-12-17 09:28:18
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734431626000,46.5485967,15.6489818,2024-12-17 10:33:46
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734434215000,46.5485967,15.6489818,2024-12-17 11:16:55
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734436603000,46.5485967,15.6489818,2024-12-17 11:56:43
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734442095000,46.5485967,15.6489818,2024-12-17 13:28:15
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734445787000,46.5485967,15.6489818,2024-12-17 14:29:47
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734449411000,46.5485967,15.6489818,2024-12-17 15:30:11
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734453034000,46.5485967,15.6489818,2024-12-17 16:30:34
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734456658000,46.5485967,15.6489818,2024-12-17 17:30:58
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734460282000,46.5485967,15.6489818,2024-12-17 18:31:22
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734463303000,46.5485967,15.6489818,2024-12-17 19:21:43
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734466924000,46.5485967,15.6489818,2024-12-17 20:22:04
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734470547000,46.5485967,15.6489818,2024-12-17 21:22:27
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734474171000,46.5485967,15.6489818,2024-12-17 22:22:51
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734477795000,46.5485967,15.6489818,2024-12-17 23:23:15
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734486853000,46.5485967,15.6489818,2024-12-18 01:54:13
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734490478000,46.5485967,15.6489818,2024-12-18 02:54:38
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734492894000,46.5485967,15.6489818,2024-12-18 03:34:54
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734495913000,46.5485967,15.6489818,2024-12-18 04:25:13
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734499536000,46.5485967,15.6489818,2024-12-18 05:25:36
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734503764000,46.5485967,15.6489818,2024-12-18 06:36:04
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734506783000,46.5485967,15.6489818,2024-12-18 07:26:23
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,0,0,OPEN,1734510913000,46.5485967,15.6489818,2024-12-18 08:35:13
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,20,0,OPEN,1734513918000,46.5485967,15.6489818,2024-12-18 09:25:18
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,10,10,OPEN,1734517723000,46.5485967,15.6489818,2024-12-18 10:28:43
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,10,10,OPEN,1734518601000,46.5485967,15.6489818,2024-12-18 10:43:21
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,10,10,OPEN,1734525662000,46.5485967,15.6489818,2024-12-18 12:41:02
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,10,10,OPEN,1734531787000,46.5485967,15.6489818,2024-12-18 14:23:07
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,10,10,OPEN,1734535296000,46.5485967,15.6489818,2024-12-18 15:21:36
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,10,10,OPEN,1734538662000,46.5485967,15.6489818,2024-12-18 16:17:42
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,10,10,OPEN,1734542789000,46.5485967,15.6489818,2024-12-18 17:26:29
33,maribor,HOFER - TITOVA CESTA,Linhartova ulica 5,False,False,20,10,10,OPEN,1734546054000,46.5485967,15.6489818,2024-12-18 18:20:54
