timestamp,position_lat,position_lng,available_bike_stands,available_bikes
2024-12-17 09:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 10:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 11:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 13:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 14:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 15:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 16:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 17:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 18:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 19:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 20:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 21:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 22:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-17 23:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-18 01:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-18 02:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-18 03:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-18 04:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-18 05:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-18 06:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-18 07:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-18 08:00:00,46.5485967,15.6489818,0.0,0.0
2024-12-18 09:00:00,46.5485967,15.6489818,20.0,0.0
2024-12-18 10:00:00,46.5485967,15.6489818,10.0,10.0
2024-12-18 12:00:00,46.5485967,15.6489818,10.0,10.0
2024-12-18 14:00:00,46.5485967,15.6489818,10.0,10.0
2024-12-18 15:00:00,46.5485967,15.6489818,10.0,10.0
2024-12-18 16:00:00,46.5485967,15.6489818,10.0,10.0
2024-12-18 17:00:00,46.5485967,15.6489818,10.0,10.0
2024-12-18 18:00:00,46.5485967,15.6489818,10.0,10.0
2024-12-18 19:00:00,46.5485967,15.6489818,10.0,10.0
